URL,開講年度,学部,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,科目キー,科目クラスコード,授業で使用する言語,授業方法区分,大分野名称,中分野名称,小分野名称,レベル,授業形態,教科書,成績評価方法,学期,曜日,時限,単位取得難易度,必修,群,レポート,出席,テスト,学年,学科
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001002012024260000100226,2024年度,基幹理工学部,日常生活とリスク,安部　竜一郎／石倉　義博／菅野　摂子／吉川　忠寛,春学期  水２時限,"['綜合科目', '選択必修']",１,2,５６-１０２教室,西早稲田（旧大久保）,2600001002,01,日本語,【対面】ハイブリッド（対面回数半数以上）,総合／学際,総合／学際,総合／学際,初級レベル（入門・導入）,講義,特になし。,授業担当教員3名が、それぞれ理解度確認のための課題または試験を課し、それらを総合して最終的な成績評価を行なう。各教員の評価方法については、授業内やWaseda Moodleで指示するので、必ず確認すること。,春学期,水,[2],2,選択必修,A,0.20000375124823874,0.608105407854672,0.19189084089708927,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001004012024260000100426,2024年度,基幹理工学部,国際保健医療論,潮見　泰藏／内藤　順子／吉永　真理,秋学期  金２時限,"['綜合科目', '選択必修']",１,2,６１-２１０教室,西早稲田（旧大久保）,2600001004,01,日本語,【対面】ハイブリッド（対面回数半数以上）,国際関係論,国際公共政策,その他,初級レベル（入門・導入）,講義,特になし。,毎回のリアクションペーパーおよび期末レポート（各教員による出題）で評価する。,秋学期,金,[2],1,選択必修,A,0.3135253496968053,0.3301932193114126,0.35628143099178194,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001005012024260000100526,2024年度,基幹理工学部,開発協力論,関根　久雄／内藤　順子／三井　久明／箕曲　在弘,春学期  金４時限,"['綜合科目', '選択必修']",１,2,５７-２０１室,西早稲田（旧大久保）,2600001005,01,日本語,【対面】ハイブリッド（対面回数半数以上）,国際関係論,国際公共政策,開発研究,初級レベル（入門・導入）,講義,特になし。,出席および期末レポート（各担当教員による出題）により評価する。,春学期,金,[4],1,選択必修,A,0.40509933706525036,0.16582823777188566,0.429072425162864,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001006012024260000100626,2024年度,基幹理工学部,現代経済の構造と変容,太田　愛之／篠崎　武久／松原　光代／李　綱,春学期  火４時限,"['綜合科目', '選択必修']",１,2,５２-３０２教室,西早稲田（旧大久保）,2600001006,01,日本語,【対面】,経済学,経済学一般,経済学一般,初級レベル（入門・導入）,講義,・太田愛之担当部分太田愛之・川口浩・藤井信幸 (2006). 日本経済の二千年 (改訂版). 勁草書房.同書は紙書籍版が版元品切れとなっているため、受講者には授業で使用する第 20・21・23 章のみの PDF ファイルを Moodle 経由で提供する。全体を閲覧したい場合は中央図書館等に紙書籍版がある。また、図書館の検索システム (WINE) からオンライン版にアクセスすることもできるので利用されたい。,割合評価基準レポート:75％・担当教員ごとの最終レポートなどの内容に基づき評価する。・詳細については、各担当教員からの指示をよく確認すること。平常点評価:25％・授業への出席状況、授業中の教員からの問いかけに対する回答、授業後に提出するリアクションペーパー、Moodle 上に掲載する授業資料や動画などの閲覧状況などの内容に基づき評価する。・詳細については、各担当教員からの指示をよく確認すること。,春学期,火,[4],4,選択必修,A,0.7280120134382835,0.027470518028949488,0.2445174685327671,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001007012024260000100726,2024年度,基幹理工学部,企業行動と経営,小松原　聡／篠崎　武久／嶋根　政充,秋学期  金４時限,"['綜合科目', '選択必修']",１,2,５６-１０１教室,西早稲田（旧大久保）,2600001007,01,日本語,【対面】,経営学,経営学,概論,初級レベル（入門・導入）,講義,・特に指定しない。,割合評価基準レポート:75％・担当教員ごとの授業中や授業後のレポート、最終レポートなどの内容に基づき評価する。小松原聡担当部分課題テーマを提示し、小松原が担当する授業終了後に回収する。嶋根政充担当部分教員と各企業家と相談した課題の提出を求める。篠崎武久担当部分授業中に提示する課題に対して授業内での提出を求める。・詳細については、各担当教員からの指示をよく確認すること。平常点評価:25％・授業への出席状況、授業中の教員からの問いかけに対する回答、Moodle 上に掲載する授業資料などの閲覧状況などの内容に基づき評価する。・詳細については、各担当教員からの指示をよく確認すること。,秋学期,金,[4],3,選択必修,A,0.006103434247180017,0.15000404483943935,0.8438925209133805,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001011012024260000101126,2024年度,基幹理工学部,変革期の社会と心理,伊藤　圭子／河合　慎一郎／膳場　百合子／谷辺　哲史,春学期  月５時限,"['綜合科目', '選択必修']",１,2,６１-1０２B教室,西早稲田（旧大久保）,2600001011,01,日本語,【対面】ハイブリッド（対面回数半数以上）,心理学,心理学,社会心理学・産業心理学,初級レベル（入門・導入）,講義,特に指定しない,谷辺：①平常点（各回終了後のリアクションシート 記述式２５％）②最終レポート（記述式７５％）　講義で取り上げたテーマの中から一つを選択し、ロボット、人工知能やその他の科学技術と社会の関係を論じる伊藤：①小レポート1回（20％）②レポート1回（30％）③平常点5回分（リアクションペーパー）（50％）で3合計100％河合：①	平常点（各回終了後のリアクションシート 記述式２０％）「授業で最も印象に残った事とその理由」②	最終レポート（記述式 ７０％）講義に関連したテーマの中から一つを選択し「これからの暮らし方・住まいのあり方・人との繋がりを論じる」③	 第１５回ワークショップで作成した成果物（記述式１０％）,春学期,月,[5],4,選択必修,A,0.2416502850688186,0.2560578440581506,0.5022918708730307,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001012012024260000101226,2024年度,基幹理工学部,高度情報社会における人間関係,石倉　義博／大橋　恵／前川　徹,秋学期  火４時限,"['綜合科目', '選択必修']",１,2,５７-２０１室,西早稲田（旧大久保）,2600001012,01,日本語,【対面】ハイブリッド（対面回数半数以上）,総合／学際,総合／学際,総合／学際,初級レベル（入門・導入）,講義,講義中に講義資料及びワーク資料を配付する。配布方法は、別途指示する。,成績評価方法は、教員ごとに異なるため、講義開始後の各教員からのアナウンスで確認してください。,秋学期,火,[4],2,選択必修,A,0.32491826715586136,0.5402999324176744,0.13478180042646432,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001013012024260000101326,2024年度,基幹理工学部,ストレスと自殺,坂田　成輝／膳場　百合子／高橋　尚子／奈良　元壽,春学期  火３時限,"['綜合科目', '選択必修']",１,2,６３-２０１教室,西早稲田（旧大久保）,2600001013,01,日本語,【対面】ハイブリッド（対面回数半数以上）,心理学,心理学,臨床心理学・人格心理学・精神分析学,初級レベル（入門・導入）,講義,特に教科書は指定しない,【成績評価方法】試験１００％教場試験（第14週）で成績評価を行う。3名の講師がそれぞれ出題する。,春学期,火,[3],1,選択必修,A,0.6755502842703858,0.20528743242361033,0.11916228330600391,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001018012024260000101826,2024年度,基幹理工学部,産業社会のメンタルヘルス,小林　祐一／佐藤　陽／膳場　百合子／渡部　卓,春学期  月６時限,"['綜合科目', '選択必修']",１,2,５５Ｓ-０３-０８教室,西早稲田（旧大久保）,2600001018,01,日本語,【対面】ハイブリッド（対面回数半数以上）,心理学,心理学,臨床心理学・人格心理学・精神分析学,初級レベル（入門・導入）,演習／ゼミ,特に指定しない,定期試験: 60% 期末試験　各講師が1/3ずつ出題する。　持ち込み無し。その他（授業内でのレポート等）:20% および平常点評価: 20% アクティブラーニングでの取り組みなどただし、教員（小林、佐藤、渡部）によって定期試験（６０％配分は共通）の設問、またレポートや平常点で評価基準、方法は各教員ごとに異なります。詳細は教場にて各教師の第一回目の講義時に別途指示し、質問があれば、各教員（小林、佐藤、渡部）にお問い合わせください。,春学期,月,[6],1,選択必修,A,0.1786038760867291,0.6665372904467249,0.15485883346654591,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600001021012024260000102126,2024年度,基幹理工学部,科学・技術の社会史,綾部　広則,春学期  火４時限,"['基礎科目', '選択必修']",１,2,６３-２０１教室,西早稲田（旧大久保）,2600001021,01,日本語,【オンライン】ハイブリッド（対面回数半数未満）,科学技術論,科学技術論,科学史・技術史,初級レベル（入門・導入）,講義,古川安『科学の社会史――ルネサンスから20世紀まで』ちくま学芸文庫、2018年。,割合評価基準試験:100％歴史的事実に関する基本的知識および歴史についての理解度で評価する。,春学期,火,[4],2,選択必修,A,0.27143789832437104,0.35450278727094947,0.3740593144046795,1,"['数学科', '応用数理学科', '機械科学・航空宇宙学科', '電子物理システム学科', '情報理工学科', '情報通信学科', '表現工学科']"
